repository,topic,review_status
ch1bug/dsh-wsl-bridge,dsh-plugin,verified_plugin
chadyi/deepseek-harness-guide,deepseek-harness,rejected
chajiuqqq/dsh-claude-theme,dsh-plugin,verified_plugin
chen-001/dsh-chat-width,dsh-plugin,verified_plugin
chen-001/dsh-grok-tui,dsh-plugin,verified_plugin
cheng-nan01/dsh-tool-playwright,dsh-plugin,verified_plugin
chengche106/dsh-web-auto-open,deepseek-harness|dsh-plugin,verified_plugin
chenlaoshiyf/dsh-mcpguard,deepseek-harness|dsh-plugin,rejected
chensheg/knowledge-from-literature-and-bilibili,deepseek-harness|dsh-plugin,watchlist
chenw2759-wq/dsh-easyssh,dsh-plugin,verified_plugin
chenw2759-wq/dsh-plugin-healthcheck,dsh-plugin,verified_plugin
cherryhq/cherry-studio,deepseek-harness,rejected
chi-hong22/dsh-latexcp,dsh-plugin,verified_plugin
chi-hong22/dsh-mdbox,dsh-plugin,verified_plugin
Chinesezjc/dsh-interconnect,dsh-plugin,verified_plugin
chisaalter/deepseek-harness-desktop,deepseek-harness|dsh-plugin,related
chuantianml/dsh-island,deepseek-harness|dsh-plugin,rejected
chuantianml/dsh-open-with,deepseek-harness|dsh-plugin,verified_plugin
chuantianml/dsh-share,deepseek-harness|dsh-plugin,verified_plugin
chungor/owlx-mcp,dsh-plugin,related
chushixixin/dsh-harness-mcp-server,deepseek-harness|dsh-plugin,verified_plugin
chyra-moon/deepseek-harness-desktop,dsh-plugin,related
ciceroyang/dsh-report-studio,deepseek-harness|dsh-plugin,verified_plugin
citrusli2026/dsh-mobile-shell,deepseek-harness,rejected
citrusli2026/dsh-mobile-ui,deepseek-harness|dsh-plugin,verified_plugin
civitasv/dsh-plugin-colorscheme,deepseek-harness|dsh-plugin,verified_plugin
cking000bigdemon/dsh-toolbelt,dsh-plugin,verified_plugin
clearkurt/dsh-win-terminal-inspector,dsh-plugin,verified_plugin
clizo1209/dsh-playwright-browser,deepseek-harness|dsh-plugin,verified_plugin
cms19859230182-lang/dsh-import,deepseek-harness,verified_plugin
cnskycn/deepseek-harness-desktop,deepseek-harness|dsh-plugin,rejected
cnyac/dsh-polling,deepseek-harness|dsh-plugin,verified_plugin
codeAnqiang-ma/dsh-superpowers,dsh-plugin,verified_plugin
codeprometheus/dsh-observability,dsh-plugin,rejected
coderperseus/dsh-hub,dsh-plugin,rejected
cofy-x/axern,dsh-plugin,rejected
congchuanling-dot/dsh-telegram-relay,deepseek-harness|dsh-plugin,verified_plugin
conradlu2740/pa-dsh,deepseek-harness,verified_plugin
coppynight/dsh-doctor,dsh-plugin,verified_plugin
coralflower325/deepseek-harness-gui,deepseek-harness,rejected
cpj-dev/dsh-plugin-cc,dsh-plugin,rejected
crayonlu/dsh-web-search-firecrawl,dsh-plugin,verified_plugin
crayonlu/dsh-web-search-tavily,deepseek-harness|dsh-plugin,verified_plugin
crazyshout/dsh-ssh-remote,dsh-plugin,verified_plugin
criscolthecoder/dsh-plugin-browser,deepseek-harness|dsh-plugin,verified_plugin
crystalwinter666/dsh-header-status,dsh-plugin,verified_plugin
csiroqa/dsh-archive-viewer,deepseek-harness|dsh-plugin,verified_plugin
csiroqa/dsh-backup-sync,deepseek-harness|dsh-plugin,verified_plugin
csiroqa/dsh-command-opt,deepseek-harness|dsh-plugin,verified_plugin
csiroqa/dsh-hotkeys,deepseek-harness|dsh-plugin,verified_plugin
csiroqa/dsh-plugin-usage-report,deepseek-harness|dsh-plugin,verified_plugin
csiroqa/dsh-schedule,deepseek-harness|dsh-plugin,verified_plugin
csyangwen/dsh-memory-evolve,dsh-plugin,verified_plugin
cui-stack/dsh-workspace-digest,deepseek-harness|dsh-plugin,verified_plugin
cute-baobao/dsh-usage-meter,dsh-plugin,verified_plugin
cxlg66you-bot/dsh-token-billing,deepseek-harness|dsh-plugin,verified_plugin
cyanseek/dsh-landscape,deepseek-harness|dsh-plugin,verified_plugin
cyanseek/dsh-native-playbook,deepseek-harness|dsh-plugin,verified_plugin
cyanseek/dsh-tool-chaos,deepseek-harness|dsh-plugin,verified_plugin
cyberlieflife/dsh-model-thinking,deepseek-harness|dsh-plugin,verified_plugin
cyzlmh/dsh-cyber-sec,deepseek-harness|dsh-plugin,verified_plugin
cyzlmh/dsh-pi-adapter,deepseek-harness|dsh-plugin,verified_plugin
czm15053/dsh-peer-link,dsh-plugin,verified_plugin
czzzlq/deepseek-harness-background,dsh-plugin,watchlist
czzzlq/deepseek-harness-desktop,dsh-plugin,rejected
